fecha,X,Y,ETIQUETA_MES,year,month
5/28/2021,-90.31726133,-0.69252926,5,2021,5
11/3/2022,-90.3172641,-0.69252079,23,2022,11
8/2/2021,-90.31727692,-0.69251104,8,2021,8
7/10/2022,-90.31728171,-0.69250334,19,2022,7
6/25/2021,-90.31727601,-0.69249761,6,2021,6
7/29/2022,-90.31725519,-0.69249942,19,2022,7
11/17/2022,-90.31725314,-0.69249195,23,2022,11
8/5/2021,-90.31725288,-0.69248932,8,2021,8
4/13/2021,-90.31725834,-0.69247011,4,2021,4
6/12/2021,-90.31726264,-0.69247204,6,2021,6
2/17/2021,-90.31727262,-0.69247656,2,2021,2
11/1/2022,-90.31727929,-0.69247765,23,2022,11
10/1/2021,-90.31721992,-0.69246399,10,2021,10
2/18/2021,-90.31721992,-0.69246399,2,2021,2
5/4/2021,-90.31721891,-0.69246421,5,2021,5
10/17/2022,-90.31721881,-0.69246535,22,2022,10
7/29/2022,-90.31713348,-0.69250858,19,2022,7
4/26/2021,-90.31712067,-0.69261346,4,2021,4
5/14/2021,-90.31716129,-0.69269921,5,2021,5
5/28/2022,-90.31722683,-0.69277024,17,2022,5
4/30/2022,-90.31727097,-0.69284904,16,2022,4
9/22/2022,-90.31723775,-0.69275685,21,2022,9
5/17/2021,-90.3171917,-0.69266976,5,2021,5
5/25/2022,-90.3171373,-0.69258858,17,2022,5
1/3/2022,-90.31716775,-0.69250089,13,2022,1
1/22/2022,-90.317256,-0.69247555,13,2022,1
12/3/2021,-90.31731998,-0.69254602,12,2021,12
4/5/2022,-90.31729367,-0.6924594,16,2022,4
6/14/2021,-90.31719178,-0.69248419,6,2021,6
1/13/2022,-90.31728601,-0.69249332,13,2022,1
12/11/2021,-90.31729628,-0.69248606,12,2021,12
5/15/2022,-90.31730336,-0.69247685,17,2022,5
2/4/2022,-90.31730727,-0.69247034,14,2022,2
8/3/2022,-90.31720618,-0.69248548,20,2022,8
5/15/2021,-90.31712159,-0.69253703,5,2021,5
11/14/2022,-90.31713937,-0.69262999,23,2022,11
9/23/2021,-90.3171885,-0.69271381,9,2021,9
